,Station Names,Station Codes,Latitude,Longitude,Pincode
1381,BUDAGUMPA,BDGU,15.5716° N,76.6990° E,583228
1382,BUDALUR,BAL,10.7968° N,78.9769° E,613602
1383,BUDAUN,BEM,28.0311° N,79.1271° E,243601
1384,BUDDIREDDIPPATI,BDY,12.0612° N,78.3059° E,635302
1385,BUDGAM,BDGM,33.9349° N,74.6400° E,190011
1386,BUDHA PUSHKAR H,BPKH,,,305022
1387,BUDHAKHERA,BKDE,29.3639° N,76.5546° E,126112
1388,BUDHI,BDHY,32.4494° N,75.4490° E,323001
1389,BUDHLADA,BLZ,29.9267° N,75.5542° E,151503
1390,BUDHMA,BDMA,25.9102° N,86.8697° E,852113
1391,BUDHSINGHWALA,BDSW,30.7557° N,75.1706° E,335062
1392,BUDNI,BNI,22.7746° N,77.6826° E,466445
1393,BUDORA,BDQ,,,390020
1394,BUDVEL,BDVL,17.3344° N,78.4065° E,500052
1395,BUGANA,BFN,29.2581° N,75.8316° E,125121
1396,BUGIA,BUGY,24.8576° N,84.4461° E,335051
1397,BUGLANWALI,BUGL,29.7880° N,74.2282° E,335064
1398,BULANDSHAHR,BSC,28.4070° N,77.8498° E,203001
1399,BULBULCHANDI,BBCE,24.9814° N,88.2449° E,732122
1400,BULLUANA,BHX,30.2178° N,74.7831° E,151001
1401,BUNDI,BUDI,25.4305° N,75.6499° E,323001
1402,BUNDKI,BEK,29.5213° N,78.4056° E,246763
1403,BUNIADPUR,BNDP,25.3876° N,88.3871° E,733121
1404,BURAKAYALAKOTA,BYKT,,,517351
1405,BURGULA HALT,BRGL,,,509202
1406,BURHANPUR,BAU,21.3145° N,76.2180° E,450331
1407,BURHAPANKA,BDPK,20.8527° N,85.2560° E,759128
1408,BURHAR,BUH,23.1920° N,81.5706° E,484110
1409,BURHWAL,BUW,27.0931° N,81.3908° E,225202
1410,BURJ MOHAR,BJMA,30.1850° N,74.1878° E,152116
1411,BURNPUR,BURN,23.6645° N,86.9326° E,713325
1412,BUTARI,BTR,31.5623° N,75.1866° E,143112
1413,BUTEWALA,BWF,30.9012° N,74.6474° E,421605
1414,BUTI BORI,BTBR,20.9276° N,79.0040° E,441108
1415,BUXAR,BXR,25.5647° N,83.9777° E,802101
1416,BY SANDHURST RD,SNRD,18.9609° N,72.8394° E,400009
1417,BYADARAHALLI,BDRL,12.9902° N,77.4794° E,571434
1418,BYADGI,BYD,14.6814° N,75.4869° E,581106
1419,BYATRAYANHALLI,BFW,,,563137
1420,BYCULLA,BY,18.9750° N,72.8295° E,400010
1421,BYREE,BYY,20.6386° N,86.0338° E,754082
1422,C BABUSAMUDRAM,CBU,,,0
1423,C RLY QUOTA,CRQ,,,0
1424,C SHAHUMHARAJ T,KOP,,,0
1425,C SHIVAJI MAH T,CSTM,,,0
1426,C SHIVAJI MAH T,CSMT,,,0
1427,CAMPIERGANJ,CM,27.0295° N,83.2742° E,273158
1428,CANCONA,CNO,15.0073° N,74.0468° E,403702
1429,CANNANORE SOUTH,CS,11.8745° N,75.3704° E,0
1430,CANNING,CG,22.3104° N,88.6579° E,743329
1431,CANSAULIM,CSM,15.3368° N,73.8978° E,403712
1432,CAPPER QUARRY,CQS,11.6808° N,79.7479° E,607003
1433,CARMELARAM,CRLM,12.9062° N,77.7066° E,560035
1434,CARRON,CRX,18.9518° N,72.8294° E,735205
1435,CASTLE ROCK,CLR,15.3972° N,74.3382° E,581121
1436,CAUVERY,CV,,,638007
1437,CAVALRY BARRCKS,CVB,17.4953° N,78.5191° E,500010
1438,CHABUA,CHB,27.4861° N,95.1719° E,786184
1439,CHACHAURA BNGJ,CBK,,,473118
1440,CHACHER,CHCR,21.2749° N,79.3346° E,441106
1441,CHADOTAR,CDQ,24.1927° N,72.3790° E,385001
1442,CHAGALLU,CU,16.9930° N,81.6668° E,534342
1443,CHAIBASA,CBSA,22.5474° N,85.8025° E,833201
1444,CHAINPUR,CNPR,25.0328° N,83.5046° E,829134
1445,CHAINWA,CW,26.0182° N,84.4973° E,841204
1446,CHAJAWA,CJW,25.0095° N,76.5812° E,325205
1447,CHAJLI,CJL,30.0392° N,75.8272° E,148030
1448,CHAK BANWALA,CKLA,30.4233° N,74.1445° E,152123
1449,CHAK KALAN,CKKN,31.1770° N,75.5342° E,144042
1450,CHAK KALI LAIT,CKLT,,,244221
1451,CHAK PAKHHEWALA,CKA,,,152123
1452,CHAK RAKHWAL,CRWL,,,182121
1453,CHAK SIKANDAR,CSR,25.6864° N,85.3421° E,844115
1454,CHAKAND,CKH,24.8854° N,84.9947° E,804404
1455,CHAKARBHATA P H,CHBT,,,495220
1456,CHAKARDAHA HALT,CRDA,,,854318
1457,CHAKARLAPALLI,CPL,13.9943° N,77.5813° E,515122
1458,CHAKARPUR,CKK,28.4720° N,77.0895° E,262308
1459,CHAKDAHA,CDH,23.0765° N,88.5293° E,741222
1460,CHAKDAYALA,CKDL,,,184142
1461,CHAKERI,CHK,26.4008° N,80.4132° E,0
1462,CHAKIA,CAA,26.4107° N,85.0493° E,845412
1463,CHAKITING,CFG,26.5616° N,94.0957° E,785625
1464,CHAKKI BANK,CHKB,,,145001
1465,CHAKMAKRAND,CKRD,25.6977° N,85.2744° E,844102
1466,CHAKRA ROAD,CKYD,26.0013° N,83.6724° E,221705
1467,CHAKRADHARPUR,CKP,22.6765° N,85.6255° E,833102
1468,CHAKRAJ MAL,CAJ,29.2458° N,78.5462° E,246761
1469,CHAKROD,CKOD,23.3395° N,76.7823° E,465333
1470,CHAKSU,CKS,26.6035° N,75.9436° E,303901
1471,CHAKULIA,CKU,22.4734° N,86.7165° E,832301
1472,CHAKUR,CKX,18.5213° N,76.8750° E,413513
1473,CHALAKUDI,CKI,10.3070° N,76.3341° E,680722
1474,CHALALA,CLC,21.4088° N,71.1642° E,365630
1475,CHALAMA,CMZ,32.4852° N,75.9209° E,518583
1476,CHALGERI,CLI,14.5152° N,75.8072° E,581145
1477,CHALISGAON JN,CSN,20.4633° N,74.9989° E,424101
1478,CHALKHOA,CKW,27.4660° N,94.9594° E,786002
1479,CHALLAKERE,CHKE,14.3134° N,76.6528° E,577522
1480,CHALLAVARIPALLE,CLPE,14.8600° N,78.0224° E,515411
1481,CHALSA JN,CLD,,,424101
1482,CHALTHAN,CHM,21.1566° N,72.9603° E,394305
1483,CHAMAGRAM,CMX,24.9174° N,88.1035° E,732127
1484,CHAMAK,CMK,30.3381° N,79.0433° E,444806
1485,CHAMARAJ,CJR,22.7461° N,71.5783° E,363040
1486,CHAMARAJANAGAR,CMNR,12.0526° N,77.2865° E,571313
1487,CHAMARAJAPURAM,CMJ,12.2982° N,76.6377° E,570005
1488,CHAMPA JN,CPH,,,495671
1489,CHAMPAHATI,CHT,22.4043° N,88.4937° E,743330
1490,CHAMPAJHARAM,CJQ,22.0649° N,84.9092° E,770037
1491,CHAMPANER RD JN,CPN,,,391520
1492,CHAMPAPUKUR,CQR,22.6630° N,88.8102° E,743291
1493,CHAMPION,CHU,,,563120
1494,CHAMRAURA,CHRU,27.9189° N,79.8031° E,242307
1495,CHAMROLA,CMR,29.6331° N,78.1928° E,283201
1496,CHAMUA,CAMU,27.1406° N,84.4040° E,845455
1497,CHAMUNDA MARG,CMMG,32.1106° N,76.4213° E,176047
1498,CHANAKYAPURI,CNKP,28.5972° N,77.1904° E,110021
1499,CHANASMA JN,CSMA,,,384220
1500,CHANCHELAV,CCL,22.8036° N,73.7213° E,389120
1501,CHAND BHAN,CBX,30.4442° N,74.8859° E,151202
1502,CHAND SIAU,CPS,,,246725
1503,CHANDA FORT,CAF,19.9403° N,79.3126° E,442403
1504,CHANDAN NAGAR,CGR,22.8671° N,88.3674° E,712136
1505,CHANDANATTOP,CTPE,8.9319° N,76.6442° E,691014
1506,CHANDANPUR,CDAE,19.8873° N,85.8141° E,442402
1507,CHANDAR,CNR,20.8849° N,85.8806° E,828134
1508,CHANDARI,CNBI,24.7128° N,78.1365° E,208013
1509,CHANDARWA,CDV,22.2643° N,71.8539° E,825409
1510,CHANDAULI MJHWR,CDMR,,,232104
1511,CHANDAUSI JN,CH,28.4588° N,78.7796° E,202412
1512,CHANDAWAL,CNL,26.0026° N,73.8448° E,306306
1513,CHANDERA,CDRA,25.0838° N,78.9763° E,671310
1514,CHANDERIYA,CNA,24.9358° N,74.6313° E,312021
1515,CHANDESHWAR STH,CDMA,,,847411
1516,CHANDI MANDIR,CNDM,30.7285° N,76.8923° E,134107
1517,CHANDIA ROAD,CHD,23.6462° N,80.7014° E,484660
1518,CHANDIGARH,CDG,30.7333° N,76.7794° E,140308
1519,CHANDIL JN,CNI,,,832401
1520,CHANDIPOSI,CPE,22.0292° N,84.9196° E,770037
1521,CHANDISAR,CDS,24.2142° N,72.3104° E,385510
1522,CHANDKHERA ROAD,CDK,,,382424
1523,CHANDKHIRABAGAN,CHBN,,,788726
1524,CHANDLODIYA,CLDY,23.0830° N,72.5463° E,380061
1525,CHANDNI,CDI,28.6505° N,77.2303° E,110006
1526,CHANDOD,CDD,21.9858° N,73.4556° E,391105
1527,CHANDOK,CNK,29.5956° N,78.1572° E,246721
1528,CHANDPARA,CDP,22.9763° N,88.7814° E,743245
1529,CHANDRAGIRI,CGI,13.5881° N,79.3156° E,517101
1530,CHANDRAGIRI KOP,CGKR,,,0
1531,CHANDRAKONA RD,CDGR,22.7398° N,87.3412° E,721253
1532,CHANDRAMPALEM,CRPM,17.8094° N,83.3589° E,533450
1533,CHANDRANATHPUR,CNE,24.9660° N,92.6959° E,788817
1534,CHANDRAPUR,CD,19.9615° N,79.2961° E,442402
1535,CHANDRAPURA JN,CRP,,,828403
1536,CHANDRESAL,CDSL,25.2170° N,75.9260° E,325201
1537,CHANDSARA,CXA,28.8797° N,77.7195° E,250002
1538,CHANDUR,CND,16.9795° N,79.0560° E,508255
1539,CHANDUR BAZAR,CNDB,21.2339° N,77.7395° E,444704
1540,CHANETI,CHTI,30.1677° N,77.3393° E,243004
1541,CHANGANASERI,CGY,9.4465° N,76.5402° E,686101
1542,CHANGOTOLA,CGLA,22.2279° N,80.1247° E,481551
1543,CHANGRABANDHA,CBD,26.4124° N,88.9246° E,735301
1544,CHANGSARI,CGS,26.2537° N,91.6922° E,781101
1545,CHANNANI,CHNN,13.0827° N,80.2707° E,304022
1546,CHANNAPATNA,CPT,12.6518° N,77.2086° E,562160
1547,CHANNARAYAPATNA,CNPA,12.9035° N,76.3898° E,573116
1548,CHANOL,CX,31.4604° N,76.8213° E,832401
1549,CHANPATIA,CAI,26.9445° N,84.5379° E,845449
1550,CHAPARMUKH JN,CPK,,,782425
1551,CHAPRAKATA,CPQ,26.4859° N,90.6133° E,783380
1552,CHARALI,CGF,26.7267° N,93.1479° E,0
1553,CHARAMULA KUSUM,CJS,,,764002
1554,CHARANMAHADEVI,SMD,8.6747° N,77.5658° E,627414
1555,CHARAUD,CRW,29.0103° N,75.6471° E,125001
1556,CHARBATIA,CBT,20.5690° N,85.9138° E,0
1557,CHARBHUJA ROAD,CBG,25.3007° N,73.9215° E,313332
1558,CHAREGAON,CRN,17.3711° N,74.0719° E,481551
1559,CHARGOLA,CGX,24.5970° N,92.3984° E,788701
1560,CHARKHARI ROAD,CRC,,,210426
1561,CHARKHERA,CRK,22.3664° N,77.1730° E,461228
1562,CHARKHI DADRI,CKD,28.5921° N,76.2653° E,127306
1563,CHARLAPALLI,CHZ,17.4695° N,78.5968° E,500051
1564,CHARMAL,CHAR,21.1081° N,84.2015° E,768105
1565,CHARODIYA,CHRD,21.0906° N,71.4708° E,365560
1566,CHARVATTUR,CHV,12.0972° N,75.1934° E,671312
1567,CHAS ROAD,CAS,23.4146° N,86.2251° E,723201
1568,CHATA,CHJ,22.4775° N,88.2627° E,281401
1569,CHATAR HALT,CTHT,,,805111
1570,CHATOULI,CTLI,,,251201
1571,CHATRA,CTR,24.2065° N,84.8718° E,731238
1572,CHATRAPPATTI,CHPT,9.4176° N,77.6006° E,624614
1573,CHATRAPUR,CAP,19.3597° N,84.9887° E,761020
1574,CHATRAPUR COURT,CAPC,19.3592° N,84.9828° E,761020
1575,CHATTAR HAT,CAT,26.5490° N,88.3239° E,734436
1576,CHATTRIPUT,CTS,18.9232° N,82.5901° E,764006
1577,CHAU MAHLA,CMU,23.9442° N,75.5991° E,326515
1578,CHAUBE,CBH,24.2505° N,85.8307° E,825109
1579,CHAUBEPUR,CBR,26.1572° N,80.0772° E,209203
1580,CHAUDHRIBANDH,CDB,24.0528° N,85.9841° E,825322
1581,CHAUHANI,CAZ,25.2535° N,80.0912° E,465110
1582,CHAUK,CHOK,26.8618° N,80.9044° E,410102
1583,CHAUKHANDI,CHH,26.8478° N,80.0395° E,221405
1584,CHAUKI MAN,CKM,30.8172° N,75.5713° E,142023
1585,CHAUNRAH,CNH,26.1643° N,79.7820° E,209112
1586,CHAUNTRA BHATER,CTZ,32.0051° N,76.7462° E,175032
1587,CHAURA,CUX,26.6508° N,83.5856° E,811312
1588,CHAURADANO,CAO,26.8474° N,85.0104° E,845302
1589,CHAURAKHERI,CRKR,,,473110
1590,CHAURE BAZAR,CHBR,26.4758° N,82.1285° E,224209
1591,CHAURI CHAURA,CC,26.6508° N,83.5856° E,273201
1592,CHAUSA,CSA,25.5092° N,83.8924° E,802114
1593,CHAUTARA,CROA,26.1507° N,90.0864° E,783337
1594,CHAUTH KA BRWRA,CKB,26.0503° N,76.1523° E,322702
1595,CHAVADIPALAIYAM,CVD,11.2619° N,77.7909° E,638104
1596,CHAVAJ,CVJ,21.7557° N,73.0007° E,392001
1597,CHAVALKHEDE,CHLK,21.0279° N,75.3522° E,425104
1598,CHAWAPALL,CHA,30.7986° N,76.0302° E,0
1599,CHAYGAON,CGON,26.0481° N,91.3867° E,781141
1600,CHEBROL,CEL,16.2007° N,80.5286° E,534406
1601,CHEGRO,CEME,24.0242° N,86.0249° E,825167
1602,CHEGUNTA,CGTA,17.9716° N,78.4610° E,509352
1603,CHEKATE G PALEM,CEM,,,0
1604,CHEMANCHERI,CMC,11.4021° N,75.7284° E,673304
1605,CHEMBUR,CMBR,19.0522° N,72.9005° E,400071
1606,CHENGALPATTU,CGL,12.6819° N,79.9888° E,603001
1607,CHENGANNUR,CNGR,9.3183° N,76.6111° E,689121
1608,CHENGEL,CGA,22.4864° N,88.1390° E,711308
1609,CHENNAI BEACH,MSB,13.0917° N,80.2921° E,600001
1610,CHENNAI CHETPAT,MSC,13.0715° N,80.2415° E,600031
1611,CHENNAI EGMORE,MS,13.0732° N,80.2609° E,600008
1612,CHENNAI FORT,MSF,13.0833° N,80.2828° E,600009
1613,CHENNAI PARK,MPK,13.0796° N,80.2752° E,600003
1614,CHENNASANDRA,CSDR,12.9797° N,77.7616° E,560016
1615,CHEOKI,COI,,,211008
1616,CHERIYANAD,CYN,9.2773° N,76.5844° E,689511
1617,CHERTHALA,SRTL,9.6741° N,76.3401° E,688524
1618,CHERUKARA,CQA,10.9282° N,76.2218° E,679340
1619,CHERUKUVADA,CKV,16.6676° N,81.7377° E,534199
1620,CHERUVU MADHWRM,CVV,,,521229
1621,CHETAR,CTQ,23.5913° N,85.5548° E,829203
1622,CHETTINAD,CTND,,,630102
1623,CHETTIYAPATTI,CII,10.3963° N,78.0327° E,621307
1624,CHHABRA GUGOR,CAG,24.6799° N,76.8515° E,325220
1625,CHHACHHAR,CCHR,20.8639° N,70.7704° E,362710
1626,CHHADA,CHDX,21.6397° N,87.2046° E,484114
1627,CHHALESAR,CHLR,28.0272° N,78.2127° E,282006
1628,CHHAN ARORIAN,CHNR,,,184144
1629,CHHANDRAULI,CDRL,26.7005° N,81.2285° E,225126
1630,CHHANERA,CAER,21.6122° N,76.4013° E,450116
1631,CHHANSARA,CASA,23.7695° N,71.2755° E,385350
1632,CHHAPI,CHP,24.0271° N,72.3850° E,385210
1633,CHHAPRA,CPR,25.7811° N,84.7543° E,841301
1634,CHHAPRA KACHERI,CI,25.7859° N,84.7459° E,841301
1635,CHHARKHERA KURD,CKKD,21.9386° N,76.6415° E,450117
1636,CHHARODI,CE,23.0168° N,72.2719° E,382170
1637,CHHARRA,CHRA,27.9251° N,78.4020° E,202130
1638,CHHATA ASCHAURA,CATA,,,277210
1639,CHHATAINI,CTJ,25.0096° N,81.3262° E,484774
1640,CHHATAPUR ROAD,CTU,,,854339
1641,CHHATNA,CJN,23.3085° N,86.9649° E,722132
1642,CHHATRAL,CTRL,23.2779° N,72.4417° E,0
1643,CHHAYAPURI,CYI,,,391320
1644,CHHEHARTA,CIA,31.6275° N,74.7926° E,143105
1645,CHHIDGAON,CGO,22.3371° N,76.9729° E,461223
1646,CHHINA,CHN,,,143518
1647,CHHINDWARA JN,CWA,,,480001
1648,CHHINTANWALA,CTW,30.3581° N,76.0174° E,147201
1649,CHHIPADOHAR,CPDR,24.0465° N,84.0768° E,829204
1650,CHHOTA AMBANA,CAM,,,828109
1651,CHHOTA GUDHA,COD,27.2984° N,75.5928° E,303602
1652,CHHOTA UDEPUR,CTD,22.3085° N,74.0120° E,391165
1653,CHHOTI ODAI,COO,26.5590° N,76.8060° E,322205
1654,CHHUCHHAPURA JN,CCP,,,391125
1655,CHHULHA,CLF,23.0944° N,81.7592° E,484224
1656,CHIANKI,CNF,24.0130° N,84.1066° E,822102
1657,CHICHAKI,CCK,24.1108° N,85.9330° E,825322
1658,CHICHOLI P H,CCO,,,441102
1659,CHICHONDA,CCD,21.7097° N,78.3522° E,460665
1660,CHICHPALLI,CIP,20.0017° N,79.4788° E,442404
1661,CHICKASHELIKERI,CASK,,,0
1662,CHIDAMBARAM,CDM,11.4069° N,79.6911° E,608001
1663,CHIGICHERLA,CCA,14.5190° N,77.6815° E,515672
1664,CHIHERU,CEU,31.2689° N,75.7015° E,144411
1665,CHIK BALLAPUR,CBP,13.4355° N,77.7315° E,562101
1666,CHIK BANAVAR,BAW,,,560090
1667,CHIKALTHAN,CTH,20.1947° N,75.2008° E,431007
1668,CHIKHLI,CKHS,20.3491° N,76.2653° E,443201
1669,CHIKHLI ROAD,CIO,,,396530
1670,CHIKJAJUR JN,JRU,,,577523
1671,CHIKKABENAKAL,CKBK,,,583235
1672,CHIKKAMAGALURU,CMGR,13.3161° N,75.7720° E,577117
1673,CHIKKANDAWADI,CKVD,,,577523
1674,CHIKNA,CKNA,28.7273° N,79.0235° E,847402
1675,CHIKNI ROAD,CKNI,20.3251° N,78.9602° E,442907
1676,CHIKODI ROAD,CKR,16.3689° N,74.7693° E,591222
1677,CHIKSANA,CIK,27.1846° N,77.6393° E,321021
1678,CHIKSUGAR,CK,16.3360° N,77.3449° E,584170
1679,CHILAKALAPUDI,CLU,16.1991° N,81.1556° E,521002
1680,CHILBILA JN,CIL,,,230403
1681,CHILHIA,CIH,24.3187° N,85.0844° E,272204
1682,CHILIKIDARA,CLDR,21.2509° N,85.8230° E,758080
1683,CHILKA,CLKA,19.8450° N,85.4788° E,752034
1684,CHILKAHAR,CHR,25.8247° N,83.9665° E,221701
1685,CHILO,CLO,,,341029
1686,CHILUVUR,CLVR,16.3647° N,80.5827° E,522302
1687,CHILWARIYA,CLW,27.4926° N,81.6922° E,271870
1688,CHIMALPAHAD,CMW,18.1347° N,77.7080° E,502287
1689,CHIMIDIPALLI,CMDP,18.2623° N,83.0769° E,531149
1690,CHINCHLI,CNC,16.5633° N,74.8185° E,591217
1691,CHINCHPADA,CPD,21.1868° N,73.9066° E,425417
1692,CHINCHVAD,CCH,18.6298° N,73.7997° E,0
1693,CHINGAVANAM,CGV,9.5248° N,76.5247° E,686012
1694,CHINK HILL,CNHL,18.0999° N,75.4579° E,413208
1695,CHINNA GANJAM,CJM,15.6981° N,80.2377° E,523135
1696,CHINNA SALEM,CHSM,11.6328° N,78.8779° E,606201
1697,CHINNADAGUDIHDI,CGHD,12.0874° N,76.7329° E,0
1698,CHINNAKOTE HALT,CNKH,,,563120
1699,CHINNARAVURU,CIV,16.2257° N,80.6510° E,522201
1700,CHINNEKUNTAPALI,CCI,,,0
1701,CHINPAI,CPLE,23.8210° N,87.4393° E,731104
1702,CHINTA KANI,CKN,17.1247° N,80.2084° E,507208
1703,CHINTALPALLI,CLE,18.8206° N,79.9354° E,506330
1704,CHINTAMAN GANES,CNN,23.1460° N,75.7408° E,456006
1705,CHINTAMANI,CMY,13.4020° N,78.0551° E,563125
1706,CHINTPURNI MARG,CHMG,,,177206
1707,CHIPLUN,CHI,17.5319° N,73.5151° E,415605
1708,CHIPURUPALLE,CPP,18.3121° N,83.5696° E,535128
1709,CHIRAI BG,CHIB,,,804406
1710,CHIRAIDONGRI,CID,22.4131° N,80.2851° E,481768
1711,CHIRAKKAL,CQL,11.9153° N,75.3618° E,670011
1712,CHIRALA,CLX,15.8167° N,80.3587° E,523157
1713,CHIRAWA,CRWA,28.2416° N,75.6499° E,333026
1714,CHIRAYINKEEZH,CRY,8.6559° N,76.7832° E,695304
1715,CHIRGAON,CGN,25.5693° N,78.8099° E,284301
1716,CHIRMIRI,CHRM,23.1880° N,82.3542° E,497449
1717,CHIT BARAGAON,CBN,25.7348° N,84.0009° E,221713
1718,CHITAHRA,CTHR,24.8583° N,80.8627° E,517001
1719,CHITAL,CTL,21.7418° N,71.2072° E,365620
1720,CHITALDA,CHLD,21.4649° N,73.4151° E,394440
1721,CHITALI,CIT,19.6855° N,74.6195° E,413723
1722,CHITGIDDA,CTF,17.4106° N,77.9617° E,501111
1723,CHITHARI HALT,CHTT,,,471510
1724,CHITRADURG,CTA,14.2251° N,76.3980° E,577502
1725,CHITRAKUTDHAM K,CKTD,25.2157° N,80.9212° E,210205
1726,CHITRAPUR (H),CTTP,,,581354
1727,CHITRASANI,CTT,24.2678° N,72.4835° E,385010
1728,CHITRAWAD,CTRD,21.9577° N,70.3576° E,362150
1729,CHITROD,COE,23.4093° N,70.6767° E,370145
1730,CHITTAPUR,CT,17.1182° N,77.0830° E,585211
1731,CHITTARANJAN,CRJ,23.8492° N,86.9020° E,815354
1732,CHITTAURGARH,COR,24.8835° N,74.6230° E,0
1733,CHITTERI,CTRE,12.8752° N,79.1193° E,517001
1734,CHITTOOR,CTO,13.2172° N,79.1003° E,517001
1735,CHITYALA,CTYL,17.2320° N,79.1261° E,508114
1736,CHODIALA,CDL,29.8957° N,77.7378° E,247668
1737,CHOKI SORATH,CKE,21.6619° N,70.5302° E,362315
1738,CHOLA,CHL,,,203203
1739,CHOLANG,CGH,31.6081° N,75.6444° E,144203
1740,CHOLAPURAM,CPM,11.0518° N,79.4169° E,612503
1741,CHOMUN SAMOD,COM,27.1580° N,75.7024° E,303702
1742,CHONDI,CWI,18.5897° N,75.1954° E,803108
1743,CHONGAJAN,CJA,26.0584° N,93.8158° E,785601
1744,CHOPAN,CPU,24.5233° N,83.0200° E,231205
1745,CHORAL,CRL,22.4498° N,75.9452° E,453441
1746,CHORANDA JN,CRND,,,391244
1747,CHORGHATPIPARIA,CRE,,,482051
1748,CHORGI,CHRG,17.1810° N,75.8657° E,586211
1749,CHORVAD ROAD,CVR,21.0539° N,70.2902° E,362250
1750,CHOTI KHATU,CTKT,27.1920° N,74.4163° E,341302
1751,CHOUPALE,CUE,30.9479° N,77.5901° E,425412
1752,CHOVVARA,CWR,10.1283° N,76.3732° E,683571
1753,CHOWHATTA,CWT,23.8251° N,87.7508° E,731201
1754,CHOWKA GHAT,CKG,,,225207
1755,CHOWRIGACHA,CWLE,23.9432° N,88.1867° E,742405
1756,CHROMEPET,CMP,12.9516° N,80.1462° E,600044
1757,CHUCHURA,CNS,22.9012° N,88.3899° E,712102
1758,CHUDA,CDA,22.4806° N,71.6879° E,363415
1759,CHUDAWA,CRU,19.1703° N,77.1327° E,431511
1760,CHUHRIWALA DHAN,CWDA,,,152122
1761,CHULI,CUL,22.9989° N,71.3490° E,363310
1762,CHUNAR,CAR,25.1037° N,82.8721° E,231304
1763,CHUNNABHATTI,CHF,19.0517° N,72.8692° E,400022
1764,CHURAIBARI,CBZ,24.4411° N,92.2535° E,799262
1765,CHURAMAN NAGRI,CRG,27.3957° N,77.6129° E,281004
1766,CHURARU TAKARLA,CHTL,,,174316
1767,CHUREB,CRV,26.7857° N,82.9817° E,272175
1768,CHURK,CUK,24.6449° N,83.0952° E,231216
1769,CHURU,CUR,28.2925° N,74.9707° E,331001
1770,CHURULIA,CRA,23.7833° N,87.0740° E,713368
1771,CINNAMARA,CMA,26.7064° N,94.2396° E,785008
1772,CLUTTERBUCKGANJ,CBJ,28.3997° N,79.3775° E,243502
1773,COCHIN HRBR TMS,CHTS,9.9591° N,76.2679° E,682003
1774,COIMBATORE JN,CBE,10.9775° N,76.9628° E,641001
1775,COIMBATORE NRTH,CBF,11.0603° N,76.9458° E,641001
1776,COLONELGANJ,CLJ,27.1301° N,81.6996° E,271502
1777,CONTAI ROAD,CNT,,,721401
1778,COOCH BEHAR,COB,26.3452° N,89.4482° E,0
1779,COONOOR,ONR,11.3530° N,76.7959° E,643101
1780,CORAMANDAL,COL,12.9878° N,80.2514° E,563120
1781,COSSIMBAZAR,CSZ,24.1180° N,88.2814° E,742103
1782,CUDDALORE PORT,CUPJ,11.7073° N,79.7428° E,607003
1783,CUDDAPAH,HX,14.4673° N,78.8242° E,516004
1784,CUMBUM,CBM,9.7347° N,77.2844° E,523333
1785,CUTTACK,CTC,20.4625° N,85.8830° E,753003
1786,D SAGAR WTR FLS,DWF,,,0
1787,D SAMUDHRAVALLI,DSVS,,,573225
1788,DABHAU,DBOU,,,391110
1789,DABHAURA,DBR,25.1157° N,81.3056° E,486556
1790,DABHODA,DBO,23.1781° N,72.7474° E,382355
1791,DABHOI JN,DB,22.1377° N,73.4161° E,391110
1792,DABILPUR,DBV,17.6667° N,78.4702° E,501401
1793,DABIRPURA,DQR,17.3656° N,78.4857° E,0
1794,DABKA,DBKA,22.2473° N,72.9564° E,444719
1795,DABLA,DBLA,27.9004° N,75.9333° E,332718
1796,DABLI RATHAN,DBI,29.5507° N,74.1915° E,335801
1797,DABOLIM,DBM,15.3902° N,73.8547° E,403801
1798,DABPAL,DBF,18.9270° N,81.4883° E,494441
1799,DABRA,DBA,25.8879° N,78.3373° E,475110
1800,DABTARA,DUB,28.3904° N,78.9465° E,243720
1801,DADAR,DDR,19.0178° N,72.8478° E,400014
1802,DADAR,DR,19.0178° N,72.8478° E,400014
1803,DADGAON,DDZ,21.8263° N,74.2172° E,403601
1804,DADHAL INAM,DHM,21.6355° N,73.0619° E,393001
1805,DADHAPARA,DPH,21.9655° N,82.0543° E,495223
1806,DADHDEVI,DDV,25.0776° N,75.9189° E,325001
1807,DADPUR,DPX,23.0486° N,88.4319° E,811305
1808,DADRI,DER,28.5526° N,77.5548° E,201311
1809,DAGARHKERI,DRHI,22.0816° N,76.8270° E,450116
1810,DAGHORA,DAO,21.8670° N,83.7186° E,770075
1811,DAGMAGPUR,DAP,25.0981° N,82.8006° E,231304
1812,DAGORI,DGS,21.8936° N,82.0666° E,495224
1813,DAGRU,DAU,30.8352° N,75.0465° E,142048
1814,DAHANU ROAD,DRD,19.9914° N,72.7437° E,401602
1815,DAHAR KA BALAJI,DKBJ,26.9477° N,75.7693° E,302039
1816,DAHEGAON,DAE,21.0409° N,79.0250° E,442005
1817,DAHINA ZAINABAD,DZB,28.2908° N,76.3917° E,123411
1818,DAHINSARA JN,DAC,23.0920° N,69.5187° E,400068
1819,DAHISAR,DIC,19.4946° N,72.8604° E,400068
1820,DAHOD,DHD,22.8345° N,74.2606° E,389151
1821,DAILWARA,DWA,24.7695° N,78.3728° E,284501
1822,DAINHAT,DHAE,23.6053° N,88.1718° E,713502
1823,DAKACHA,DKCH,22.8575° N,75.9550° E,453771
1824,DAKANIYA TALAV,DKNT,25.1446° N,75.8660° E,324007
1825,DAKHINESWAR,DAKE,22.6573° N,88.3624° E,700035
