0,12723
1,20806
2,12724
3,12707
6,15909
43,18242
44,11266
45,58702
47,54703
221,14804
226,19420
228,12931
229,12267
230,12298
232,19223
234,19401
236,19421
240,12844
241,18406
242,12958
243,19119
244,19415
245,19407
246,16501
263,12547
264,12195
271,15055
272,12954
278,13168
279,12320
283,12342
284,12341
286,12548
288,22646
289,22645
290,11096
291,11095
292,16502
293,59439
294,59440
295,11050
296,59441
297,59442
298,12196
299,22996
300,13424
301,12983
302,12990
303,18208
304,19609
305,17019
306,12719
307,12066
308,12413
309,19608
311,16209
313,18422
314,12988
316,19607
322,17064
323,17063
362,19613
363,19611
364,12989
365,16210
366,19411
367,12015
368,12016
371,11202
372,17640
377,12318
378,12317
381,14312
382,14311
385,12276
386,12293
389,12403
390,12294
401,22639
402,16308
419,12587
420,17225
421,18047
422,17226
423,12854
424,12853
425,15097
426,15098
427,15653
434,11265
435,13138
436,11054
446,12159
447,11406
448,12766
453,12112
454,16343
455,16344
456,13049
457,12483
458,11057
459,13005
460,12014
461,12031
462,12013
463,12032
476,16723
477,16724
478,12316
479,16032
480,16031
483,12253
484,12254
486,12315
506,22632
507,22631
508,22406
509,14152
510,12583
511,22409
512,12211
513,15058
514,12444
515,12040
516,13132
517,15622
518,15026
519,13430
521,12428
523,22858
524,4401
525,12708
537,12885
538,12886
539,19707
540,19708
541,12356
542,12355
549,12916
550,12915
574,12361
578,13509
579,13507
587,3511
608,19614
609,19612
612,12242
613,11058
618,15934
619,14632
620,14612
621,54602
623,12054
624,13050
625,13006
626,19326
629,12484
634,15708
635,12358
637,14616
638,12460
639,12716
640,12422
653,14002
654,12953
655,57549
656,15910
657,19038
658,19040
659,19037
660,19039
661,12962
662,12961
690,17619
691,17621
716,12130
717,12129
718,12948
719,12947
720,15666
721,15665
722,18449
723,18450
801,13019
802,13020
803,12578
804,12577
817,16316
818,12609
819,16228
820,12785
821,16525
822,16524
823,17236
824,12678
825,16518
826,12657
827,56263
828,12683
829,22607
830,22692
831,13241
833,14555
834,14313
835,14556
836,14322
838,28624
839,14805
840,14888
841,17307
842,17308
844,51029
857,18404
858,12021
859,12022
860,18415
862,12892
863,18437
864,12830
865,12282
866,12281
867,12894
868,12831
869,12074
870,12073
872,12880
873,22805
874,12898
875,22882
876,22811
877,22823
878,18496
879,22871
880,22879
881,12845
894,12932
895,22210
896,12268
897,12955
898,22913
1000,14209
1011,22904
1012,12995
1013,19115
1014,22474
1015,19203
1016,12910
1017,22915
1018,11104
1019,22933
1020,22931
1021,22444
1022,19021
1023,12247
1024,22935
1025,12907
1026,12935
1029,14321
1031,14236
1032,54077
1034,14320
1035,14308
1036,14314
1045,12237
1046,12238
1098,18203
1099,18204
1129,14803
1130,16863
1131,16533
1132,16507
1133,18574
1134,11089
1142,13423
1147,22405
1152,12335
1154,12349
1155,18604
1156,12891
1160,12336
1161,13104
1162,13103
1163,17234
1164,17233
1165,12971
1166,59208
1178,12155
1179,12156
1180,12002
1181,13015
1182,12846
